

replicon	hit_id	gene_name	hit_pos	model_fqn	sys_id	sys_wholeness	hit_gene_ref	hit_status	hit_seq_len	hit_i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match	used_in
all_contigs	NZ_CP121512.1_23744-34351:._7	RM_Type_II__Type_II_MTases_FAM_0	77475	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	360	2.6e-98	332.200	0.984	0.942	1	339	
all_contigs	NZ_CP059679.1_16513-26775:._7	RM_Type_II__Type_II_MTases_FAM_0	82225	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	185	0.00028	22.800	0.221	0.449	44	126	
all_contigs	NZ_AP031406.1_1267979-1278616:._3	RM_Type_II__Type_II_MTases_FAM_0	84788	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	397	9e-109	366.600	0.989	0.992	2	395	
all_contigs	NZ_CP196051.1_2617-13203:._7	RM_Type_II__Type_II_MTases_FAM_0	92903	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	461	1.6e-89	303.200	0.981	0.731	99	435	
all_contigs	NZ_CP065723.1_1629954-1640198:._14	RM_Type_II__Type_II_MTases_FAM_0	98994	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	71	9.1e-19	70.400	0.153	0.930	2	67	
all_contigs	NZ_CP024103.1_13872-24473:._7	RM_Type_II__Type_II_MTases_FAM_1	1603	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	257	9.9e-42	145.800	0.894	0.946	4	246	
all_contigs	NZ_CP016846.1_15739-26352:._5	RM_Type_II__Type_II_MTases_FAM_1	8923	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	252	1.3e-40	142.100	0.905	0.972	2	246	
all_contigs	NZ_CP024110.1_23293-33906:._15	RM_Type_II__Type_II_MTases_FAM_1	28366	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	257	9.9e-42	145.800	0.894	0.946	4	246	
all_contigs	NZ_CP077103.1_30023-40642:._9	RM_Type_II__Type_II_MTases_FAM_1	31447	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	315	4.8e-72	245.200	0.919	0.838	33	296	
all_contigs	NZ_CP176625.1_1872863-1883470:._10	RM_Type_II__Type_II_MTases_FAM_1	37166	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	584	9.6e-50	172.000	0.901	0.498	54	344	
all_contigs	NZ_CP035170.1_32617-43170:._5	RM_Type_II__Type_II_MTases_FAM_1	47268	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	299	2e-81	275.900	0.938	0.876	14	275	
all_contigs	NZ_CP035170.1_1464-12017:._5	RM_Type_II__Type_II_MTases_FAM_1	47283	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	88	1.6e-13	53.200	0.282	0.898	2	80	
all_contigs	NZ_CP035170.1_1464-12017:._6	RM_Type_II__Type_II_MTases_FAM_1	47284	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	85	4.9e-32	114.000	0.293	0.941	1	80	
all_contigs	NZ_CP050545.1_2019-12602:._3	RM_Type_II__Type_II_MTases_FAM_1	57332	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	280	2.6e-33	118.200	0.923	0.896	2	252	
all_contigs	NZ_CP012279.1_24512-35095:._3	RM_Type_II__Type_II_MTases_FAM_1	57482	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	280	2.6e-33	118.200	0.923	0.896	2	252	
all_contigs	NZ_CP066043.1_23333-33988:._4	RM_Type_II__Type_II_MTases_FAM_1	71042	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	252	0.00011	24.200	0.322	0.365	99	190	
all_contigs	NZ_CP064266.1_227413-238020:._4	RM_Type_II__Type_II_MTases_FAM_1	72777	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	329	3.8e-78	265.200	0.952	0.842	49	325	
all_contigs	NZ_CP027195.1_1458-12041:._3	RM_Type_II__Type_II_MTases_FAM_1	76531	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	280	1.5e-33	119.000	0.908	0.882	2	248	
all_contigs	NZ_CP066186.1_25983-36596:._17	RM_Type_II__Type_II_MTases_FAM_1	81468	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	255	8.8e-42	145.900	0.894	0.953	2	244	
all_contigs	NZ_CP151952.1_713048-723652:._9	RM_Type_II__Type_II_MTases_FAM_10	10934	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	174	7.8e-33	116.500	0.322	0.948	9	173	
all_contigs	NZ_AP029254.1_44381-55036:._1	RM_Type_II__Type_II_MTases_FAM_10	27862	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	75	1.3e-13	53.100	0.135	0.920	4	72	
all_contigs	NZ_AP022557.1_3652830-3663434:._7	RM_Type_II__Type_II_MTases_FAM_10	30092	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	511	5.3e-128	430.400	0.968	0.965	10	502	
all_contigs	NZ_CP148727.1_6881-17440:._3	RM_Type_II__Type_II_MTases_FAM_10	51862	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	494	3.2e-115	388.200	0.976	0.996	1	492	
all_contigs	NZ_CP038860.1_3557516-3568120:._4	RM_Type_II__Type_II_MTases_FAM_10	52313	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	511	4.8e-128	430.600	0.968	0.965	10	502	
all_contigs	NZ_CP050544.1_9253-19614:._9	RM_Type_II__Type_II_MTases_FAM_10	57346	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	508	2.3e-97	329.300	0.954	0.947	19	499	
all_contigs	NZ_CP151966.1_2587025-2597629:._4	RM_Type_II__Type_II_MTases_FAM_10	79033	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	511	3.9e-128	430.900	0.968	0.965	10	502	
all_contigs	NZ_CP025416.1_1917-12497:._12	RM_Type_II__Type_II_MTases_FAM_10	86008	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	510	2.5e-96	326.000	0.948	0.937	23	500	
all_contigs	NZ_CP187452.1_3003921-3014525:._3	RM_Type_II__Type_II_MTases_FAM_10	91278	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	511	3.9e-128	430.900	0.968	0.965	10	502	
all_contigs	NZ_CP161870.1_29892-40514:._8	RM_Type_II__Type_II_MTases_FAM_13	20986	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	249	3.1e-05	25.300	0.144	0.410	8	109	
all_contigs	NZ_CP168828.1_48416-59023:._1	RM_Type_II__Type_II_MTases_FAM_13	46843	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	107	2.4e-05	25.600	0.113	0.589	44	106	
all_contigs	NZ_CP191291.1_292919-303541:._15	RM_Type_II__Type_II_MTases_FAM_13	47208	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	253	2e-05	25.900	0.146	0.407	8	110	
all_contigs	NZ_CP015506.1_121350-131909:._14	RM_Type_II__Type_II_MTases_FAM_13	47800	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	201	0.00027	22.100	0.149	0.388	58	135	
all_contigs	NZ_CP085720.1_3099383-3109933:._9	RM_Type_II__Type_II_MTases_FAM_13	62155	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	384	3.9e-08	34.800	0.211	0.396	193	344	
all_contigs	NZ_CP191283.1_293075-303697:._15	RM_Type_II__Type_II_MTases_FAM_13	64553	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	253	2e-05	25.900	0.146	0.407	8	110	
all_contigs	NZ_CP148629.1_37227-47960:._10	RM_Type_II__Type_II_MTases_FAM_13	66319	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	588	1.5e-09	39.500	0.255	0.245	401	544	
all_contigs	NZ_CP026095.1_3247199-3257749:._9	RM_Type_II__Type_II_MTases_FAM_13	74218	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	384	3.9e-08	34.800	0.211	0.396	193	344	
all_contigs	NZ_CP191289.1_293075-303697:._15	RM_Type_II__Type_II_MTases_FAM_13	77986	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	253	2e-05	25.900	0.146	0.407	8	110	
all_contigs	NZ_CP191290.1_293075-303697:._15	RM_Type_II__Type_II_MTases_FAM_13	101582	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	253	2e-05	25.900	0.146	0.407	8	110	
all_contigs	NZ_CP169424.1_31560-42140:._11	RM_Type_II__Type_II_MTases_FAM_14	74	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	508	9e-19	69.800	0.446	0.557	65	347	
all_contigs	NZ_CM132538.1_2102698-2113278:._5	RM_Type_II__Type_II_MTases_FAM_14	402	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	229	6.7e-05	24.000	0.160	0.415	55	149	
all_contigs	NZ_CP044354.1_776904-787487:._5	RM_Type_II__Type_II_MTases_FAM_14	3204	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	235	7.1e-05	23.900	0.158	0.400	61	154	
all_contigs	NZ_CP103325.1_27482-38071:._1	RM_Type_II__Type_II_MTases_FAM_14	10691	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	472	1.1e-17	66.200	0.435	0.587	1	277	
all_contigs	NZ_OZ260688.1_804116-814474:._8	RM_Type_II__Type_II_MTases_FAM_14	12109	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	235	1.2e-05	26.400	0.160	0.404	61	155	
all_contigs	NZ_CP113233.1_1610125-1620717:._11	RM_Type_II__Type_II_MTases_FAM_14	12686	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	392	0.00096	20.200	0.144	0.199	154	231	
all_contigs	NZ_CM146858.1_752704-763287:._5	RM_Type_II__Type_II_MTases_FAM_14	12738	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	235	7.9e-05	23.700	0.158	0.400	61	154	
all_contigs	NZ_CP014911.1_1-8218:._6	RM_Type_II__Type_II_MTases_FAM_14	19420	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	229	1.8e-05	25.900	0.160	0.415	55	149	
all_contigs	NZ_CP129525.1_1688183-1698775:._11	RM_Type_II__Type_II_MTases_FAM_14	26229	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	392	0.00096	20.200	0.144	0.199	154	231	
all_contigs	NZ_CP127866.1_1642687-1653279:._10	RM_Type_II__Type_II_MTases_FAM_14	34764	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	392	0.00096	20.200	0.144	0.199	154	231	
all_contigs	NZ_AP025162.1_17326-27912:._1	RM_Type_II__Type_II_MTases_FAM_14	35533	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	215	5.4e-05	24.300	0.158	0.437	41	134	
all_contigs	NZ_AP025162.1_66648-77234:._1	RM_Type_II__Type_II_MTases_FAM_14	35545	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	217	5.6e-05	24.200	0.158	0.433	43	136	
all_contigs	NZ_CP161340.1_1626608-1637167:._11	RM_Type_II__Type_II_MTases_FAM_14	43683	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	392	0.00096	20.200	0.144	0.199	154	231	
all_contigs	NZ_CP028254.1_1145166-1155758:._1	RM_Type_II__Type_II_MTases_FAM_14	50510	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	392	0.00096	20.200	0.144	0.199	154	231	
all_contigs	NZ_CP050545.1_2019-12602:._2	RM_Type_II__Type_II_MTases_FAM_14	57331	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	925	1.1e-12	49.700	0.600	0.374	343	688	
all_contigs	NZ_CP012279.1_119-10705:._1	RM_Type_II__Type_II_MTases_FAM_14	57464	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	162	1.2e-05	26.500	0.156	0.574	61	153	
all_contigs	NZ_CP012279.1_24512-35095:._2	RM_Type_II__Type_II_MTases_FAM_14	57481	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	925	8.1e-13	50.100	0.600	0.374	343	688	
all_contigs	NZ_CP131058.1_1411815-1422371:._10	RM_Type_II__Type_II_MTases_FAM_14	58727	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	229	6.9e-05	23.900	0.160	0.415	55	149	
all_contigs	NC_022780.1_1635552-1646144:._11	RM_Type_II__Type_II_MTases_FAM_14	59055	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	392	0.00096	20.200	0.144	0.199	154	231	
all_contigs	NZ_CM145516.1_1543841-1554433:._10	RM_Type_II__Type_II_MTases_FAM_14	60198	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	392	0.00096	20.200	0.144	0.199	154	231	
all_contigs	NZ_CP089058.1_1631107-1641699:._10	RM_Type_II__Type_II_MTases_FAM_14	61152	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	392	0.00096	20.200	0.144	0.199	154	231	
all_contigs	NZ_CP183391.1_2520788-2531302:._9	RM_Type_II__Type_II_MTases_FAM_14	61465	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	235	1.7e-05	25.900	0.160	0.404	61	155	
all_contigs	NZ_CP127867.1_1654604-1665196:._10	RM_Type_II__Type_II_MTases_FAM_14	61512	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	392	0.00096	20.200	0.144	0.199	154	231	
all_contigs	NZ_CP016766.1_562907-573532:._4	RM_Type_II__Type_II_MTases_FAM_14	66153	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	337	7.6e-07	30.400	0.401	0.697	65	299	
all_contigs	NZ_CP072563.1_640598-650851:._5	RM_Type_II__Type_II_MTases_FAM_14	69423	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	579	1.1e-199	667.000	0.973	0.988	4	575	
all_contigs	NZ_CP047081.1_1655981-1666225:._12	RM_Type_II__Type_II_MTases_FAM_14	70268	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	392	0.00096	20.200	0.144	0.199	154	231	
all_contigs	NZ_CP099983.1_10310-20890:._12	RM_Type_II__Type_II_MTases_FAM_14	73630	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	163	6.6e-05	24.000	0.158	0.577	61	154	
all_contigs	NZ_CP099983.1_10596-21206:._12	RM_Type_II__Type_II_MTases_FAM_14	73642	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	235	9.4e-05	23.500	0.160	0.404	61	155	
all_contigs	NZ_JAOEJK010000003.1_11514-22118:._4	RM_Type_II__Type_II_MTases_FAM_14	73934	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	235	7.3e-05	23.900	0.160	0.404	61	155	
all_contigs	NZ_CP027195.1_1458-12041:._2	RM_Type_II__Type_II_MTases_FAM_14	76530	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	925	1.9e-12	48.900	0.613	0.387	343	700	
all_contigs	NZ_CP028266.1_1147615-1158174:._1	RM_Type_II__Type_II_MTases_FAM_14	77917	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	392	0.00096	20.200	0.144	0.199	154	231	
all_contigs	NC_008525.1_1679665-1690224:._11	RM_Type_II__Type_II_MTases_FAM_14	81243	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	392	0.00096	20.200	0.144	0.199	154	231	
all_contigs	NZ_CP127868.1_1640826-1651418:._10	RM_Type_II__Type_II_MTases_FAM_14	92582	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	392	0.00096	20.200	0.144	0.199	154	231	
all_contigs	NZ_CM146749.1_2546454-2557034:._9	RM_Type_II__Type_II_MTases_FAM_14	94185	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	235	7.7e-05	23.800	0.158	0.400	61	154	
all_contigs	NZ_CP028264.1_1233190-1243749:._1	RM_Type_II__Type_II_MTases_FAM_14	100709	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	392	0.00096	20.200	0.144	0.199	154	231	
all_contigs	NZ_CP087726.1_1400605-1411221:._8	RM_Type_II__Type_II_MTases_FAM_15	75414	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	406	6.7e-167	557.500	0.978	0.931	9	386	
all_contigs	NZ_CP066080.1_34024-44499:._1	RM_Type_II__Type_II_MTases_FAM_16	17136	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	140	3.2e-63	216.400	0.385	1.000	1	140	
all_contigs	NZ_CP035574.1_46657-57210:._6	RM_Type_II__Type_II_MTases_FAM_16	91540	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	85	1.5e-32	115.500	0.212	0.929	4	82	
all_contigs	NZ_CP035574.1_46657-57210:._7	RM_Type_II__Type_II_MTases_FAM_16	91541	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	278	4e-126	423.300	0.691	0.892	9	256	
all_contigs	NZ_CP136477.1_1743011-1753621:._1	RM_Type_II__Type_II_MTases_FAM_17	49381	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	140	2e-41	144.200	0.583	0.843	2	119	
all_contigs	NZ_CP024103.1_13872-24473:._5	RM_Type_II__Type_II_MTases_FAM_2	1601	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	240	8.9e-59	201.800	0.580	0.817	2	197	
all_contigs	NZ_CP024103.1_13872-24473:._6	RM_Type_II__Type_II_MTases_FAM_2	1602	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	96	2.8e-16	62.200	0.215	0.750	23	94	
all_contigs	NZ_CP016846.1_15739-26352:._4	RM_Type_II__Type_II_MTases_FAM_2	8922	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	498	8.8e-79	267.500	0.962	0.952	22	495	
