blast_hit_id	hit_contig_orf	downstream_orf	strand	gap_bp
NZ_DBJORY010000002.1_6	NZ_DBJORY010000002.1_1-10545:._6	NZ_DBJORY010000002.1_1-10545:._7	1	-10
NZ_CP084539.1_2306	NZ_CP084539.1_2436499-2447052:._6	NZ_CP084539.1_2436499-2447052:._5	-1	14
NZ_CP180196.1_12	NZ_CP180196.1_6650-17263:._1	NZ_CP180196.1_6650-17263:._2	1	18
NZ_CP180197.1_12	NZ_CP180197.1_2872-13485:._9	NZ_CP180197.1_2872-13485:._8	-1	2
NZ_CP180197.1_14	NZ_CP180197.1_2872-13485:._11	NZ_CP180197.1_2872-13485:._10	-1	92
NZ_CP180197.1_31	NZ_CP180197.1_20514-31130:._7	NZ_CP180197.1_20514-31130:._6	-1	0
NZ_CP180198.1_31	NZ_CP180198.1_22513-33129:._7	NZ_CP180198.1_22513-33129:._6	-1	0
NZ_CP085310.1_1184	NZ_CP085310.1_1276636-1287261:._7	NZ_CP085310.1_1276636-1287261:._6	-1	68
NZ_CP009046.1_1251	NZ_CP009046.1_1367835-1377992:._7	NZ_CP009046.1_1367835-1377992:._8	1	-46
NZ_CP118923.1_17	NZ_CP118923.1_7352-17953:._10	NZ_CP118923.1_7352-17953:._11	1	-40
NZ_CP074377.1_1240	NZ_CP074377.1_1330270-1340919:._9	NZ_CP074377.1_1330270-1340919:._10	1	6
NZ_CP134829.1_9	NZ_CP134829.1_1-7986:._9	NZ_CP134829.1_1-7986:._8	-1	20
NZ_CP047468.1_32	NZ_CP047468.1_23709-34268:._4	NZ_CP047468.1_23709-34268:._3	-1	36
NZ_CP130522.1_2441	NZ_CP130522.1_2638770-2649371:._9	NZ_CP130522.1_2638770-2649371:._8	-1	16
NZ_CP168064.1_42	NZ_CP168064.1_40978-51609:._5	NZ_CP168064.1_40978-51609:._6	1	87
NZ_CP013621.1_966	NZ_CP013621.1_1040209-1050840:._6	NZ_CP013621.1_1040209-1050840:._5	-1	61
NZ_AP043992.1_27	NZ_AP043992.1_16372-26988:._8	NZ_AP043992.1_16372-26988:._9	1	0
NZ_CP089163.1_12	NZ_CP089163.1_6463-17070:._5	NZ_CP089163.1_6463-17070:._4	-1	12
NZ_CM149708.1_3514	NZ_CM149708.1_3350826-3361379:._8	NZ_CM149708.1_3350826-3361379:._9	1	13
NZ_CP094858.1_12	NZ_CP094858.1_1260-11867:._10	NZ_CP094858.1_1260-11867:._9	-1	15
NZ_CP120654.1_653	NZ_CP120654.1_663372-673973:._9	NZ_CP120654.1_663372-673973:._10	1	16
NZ_OZ260684.1_33	NZ_OZ260684.1_21844-32148:._6	NZ_OZ260684.1_21844-32148:._7	1	49
NZ_OZ260684.1_55	NZ_OZ260684.1_38189-48472:._9	NZ_OZ260684.1_38189-48472:._10	1	36
NZ_CP076489.1_59	NZ_CP076489.1_41237-51853:._7	NZ_CP076489.1_41237-51853:._6	-1	0
NZ_CP054567.1_75	NZ_CP054567.1_43967-54577:._10	NZ_CP054567.1_43967-54577:._11	1	13
NZ_CM126253.1_275	NZ_CM126253.1_296417-306982:._6	NZ_CM126253.1_296417-306982:._7	1	8
NZ_CP092556.1_2502	NZ_CP092556.1_2660736-2670851:._9	NZ_CP092556.1_2660736-2670851:._8	-1	48
NZ_CP053957.1_2160	NZ_CP053957.1_2185587-2196185:._6	NZ_CP053957.1_2185587-2196185:._5	-1	69
NZ_CP019723.1_32	NZ_CP019723.1_22392-32984:._9	NZ_CP019723.1_22392-32984:._10	1	40
NZ_CP120922.1_28	NZ_CP120922.1_19616-29737:._7	NZ_CP120922.1_19616-29737:._6	-1	20
NZ_CP053077.1_19	NZ_CP053077.1_10788-21416:._5	NZ_CP053077.1_10788-21416:._4	-1	21
NZ_AP041227.1_57	NZ_AP041227.1_44324-54946:._4	NZ_AP041227.1_44324-54946:._5	1	12
NZ_AP041226.1_77	NZ_AP041226.1_64494-75095:._6	NZ_AP041226.1_64494-75095:._7	1	66
NZ_CP006804.1_1878	NZ_CP006804.1_2002823-2013472:._9	NZ_CP006804.1_2002823-2013472:._8	-1	6
NZ_CP192532.1_34	NZ_CP192532.1_29594-40225:._5	NZ_CP192532.1_29594-40225:._6	1	87
NZ_CP150172.1_2524	NZ_CP150172.1_2641087-2651727:._5	NZ_CP150172.1_2641087-2651727:._4	-1	45
NZ_CP138650.1_2	NZ_CP138650.1_1-6679:._2	NZ_CP138650.1_1-6679:._3	1	14
NZ_CP072508.1_37	NZ_CP072508.1_33067-43689:._8	NZ_CP072508.1_33067-43689:._7	-1	30
NZ_CP017461.1_36	NZ_CP017461.1_29288-39838:._6	NZ_CP017461.1_29288-39838:._7	1	64
NZ_CP118739.1_31	NZ_CP118739.1_27277-37878:._7	NZ_CP118739.1_27277-37878:._8	1	16
NZ_CP118741.1_14	NZ_CP118741.1_4213-14571:._11	NZ_CP118741.1_4213-14571:._10	-1	7
NZ_CP077757.1_1720	NZ_CP077757.1_1861170-1871801:._6	NZ_CP077757.1_1861170-1871801:._5	-1	61
NZ_CP170765.1_2472	NZ_CP170765.1_2663522-2674123:._9	NZ_CP170765.1_2663522-2674123:._8	-1	16
NZ_CP085712.1_1452	NZ_CP085712.1_1509286-1519833:._13	NZ_CP085712.1_1509286-1519833:._14	1	62
NZ_CP085712.1_2523	NZ_CP085712.1_2520737-2531290:._6	NZ_CP085712.1_2520737-2531290:._5	-1	14
NZ_CP085712.1_4279	NZ_CP085712.1_4234687-4244895:._11	NZ_CP085712.1_4234687-4244895:._10	-1	-3
NZ_CP102746.1_1782	NZ_CP102746.1_1858398-1869014:._6	NZ_CP102746.1_1858398-1869014:._5	-1	0
NZ_CP102746.1_1994	NZ_CP102746.1_2085096-2095712:._6	NZ_CP102746.1_2085096-2095712:._5	-1	0
NZ_CP193773.1_1283	NZ_CP193773.1_1266965-1277548:._10	NZ_CP193773.1_1266965-1277548:._11	1	49
NZ_CP075954.1_44	NZ_CP075954.1_32184-42917:._4	NZ_CP075954.1_32184-42917:._5	1	21
NZ_CP129530.1_354	NZ_CP129530.1_348624-359207:._5	NZ_CP129530.1_348624-359207:._6	1	49
NZ_CP196572.1_2	NZ_CP196572.1_1-6714:._2	NZ_CP196572.1_1-6714:._3	1	-10
NZ_CP196572.1_38	NZ_CP196572.1_32824-43377:._4	NZ_CP196572.1_32824-43377:._3	-1	4
NZ_CP141330.1_2479	NZ_CP141330.1_2599259-2609908:._4	NZ_CP141330.1_2599259-2609908:._5	1	6
NZ_CP020473.1_2462	NZ_CP020473.1_2611541-2622112:._14	NZ_CP020473.1_2611541-2622112:._15	1	41
NZ_OZ061245.1_43	NZ_OZ061245.1_34210-44793:._10	NZ_OZ061245.1_34210-44793:._11	1	17
NZ_CP181217.1_48	NZ_CP181217.1_44014-54657:._7	NZ_CP181217.1_44014-54657:._8	1	22
NZ_CP116544.1_69	NZ_CP116544.1_53486-64108:._7	NZ_CP116544.1_53486-64108:._6	-1	90
NZ_CP116544.1_109	NZ_CP116544.1_89719-100140:._7	NZ_CP116544.1_89719-100140:._6	-1	0
NZ_CP118791.1_30	NZ_CP118791.1_19133-29740:._11	NZ_CP118791.1_19133-29740:._10	-1	22
NZ_CP072886.1_20	NZ_CP072886.1_11037-21653:._7	NZ_CP072886.1_11037-21653:._6	-1	0
NZ_LR135191.1_50	NZ_LR135191.1_44670-55286:._9	NZ_LR135191.1_44670-55286:._10	1	17
NZ_CP151182.1_16	NZ_CP151182.1_12920-23569:._6	NZ_CP151182.1_12920-23569:._7	1	6
NZ_CP186861.1_6	NZ_CP186861.1_1-8778:._6	NZ_CP186861.1_1-8778:._7	1	-7
NZ_CP159339.1_84	NZ_CP159339.1_78139-88872:._9	NZ_CP159339.1_78139-88872:._10	1	21
NZ_CP028277.1_6	NZ_CP028277.1_1-7910:._6	NZ_CP028277.1_1-7910:._7	1	-10
NZ_CP028279.1_28	NZ_CP028279.1_18510-29090:._6	NZ_CP028279.1_18510-29090:._7	1	-37
NZ_CP125720.1_35	NZ_CP125720.1_21496-32040:._10	NZ_CP125720.1_21496-32040:._9	-1	2
NZ_CP116533.1_120	NZ_CP116533.1_110634-121250:._4	NZ_CP116533.1_110634-121250:._3	-1	0
NZ_CP157502.1_5	NZ_CP157502.1_6474-17024:._4	NZ_CP157502.1_6474-17024:._3	-1	2
NZ_CP157503.1_5	NZ_CP157503.1_1-9087:._5	NZ_CP157503.1_1-9087:._6	1	67
NZ_CP092266.1_31	NZ_CP092266.1_21513-32108:._6	NZ_CP092266.1_21513-32108:._5	-1	18
NZ_CP035964.1_272	NZ_CP035964.1_253428-264002:._10	NZ_CP035964.1_253428-264002:._9	-1	0
NZ_OU016028.1_186	NZ_OU016028.1_174769-185112:._7	NZ_OU016028.1_174769-185112:._8	1	10
NZ_CP086329.1_250	NZ_CP086329.1_259958-270583:._7	NZ_CP086329.1_259958-270583:._8	1	-3
NZ_OY737369.1_827	NZ_OY737369.1_789349-799833:._10	NZ_OY737369.1_789349-799833:._9	-1	64
NZ_CM143323.1_1428	NZ_CM143323.1_1457537-1468813:._7	NZ_CM143323.1_1457537-1468813:._6	-1	87
NZ_CP044240.1_7	NZ_CP044240.1_431-11080:._7	NZ_CP044240.1_431-11080:._8	1	31
NZ_CP183932.1_2	NZ_CP183932.1_1-5667:._2	NZ_CP183932.1_1-5667:._3	1	-10
NZ_CP168889.1_60	NZ_CP168889.1_50611-61164:._5	NZ_CP168889.1_50611-61164:._6	1	4
NZ_CP061203.1_2192	NZ_CP061203.1_2229591-2240150:._9	NZ_CP061203.1_2229591-2240150:._10	1	83
NZ_CP148682.1_3	NZ_CP148682.1_1-8468:._3	NZ_CP148682.1_1-8468:._4	1	21
NZ_CP123971.1_317	NZ_CP123971.1_353496-364103:._5	NZ_CP123971.1_353496-364103:._6	1	96
NZ_CP130551.1_2508	NZ_CP130551.1_2681076-2691677:._9	NZ_CP130551.1_2681076-2691677:._8	-1	16
NZ_CP016747.2_29	NZ_CP016747.2_19618-29739:._7	NZ_CP016747.2_19618-29739:._6	-1	20
NZ_CP121224.1_11	NZ_CP121224.1_7498-18078:._3	NZ_CP121224.1_7498-18078:._4	1	0
NZ_CP094882.1_1499	NZ_CP094882.1_1552612-1563228:._8	NZ_CP094882.1_1552612-1563228:._7	-1	15
NZ_CP035134.1_28	NZ_CP035134.1_20321-30937:._8	NZ_CP035134.1_20321-30937:._9	1	-16
NZ_CP035135.1_36	NZ_CP035135.1_28950-39503:._2	NZ_CP035135.1_28950-39503:._1	-1	1
NZ_CP045013.1_56	NZ_CP045013.1_46173-56300:._7	NZ_CP045013.1_46173-56300:._8	1	13
NZ_CP150443.1_22	NZ_CP150443.1_11422-22005:._9	NZ_CP150443.1_11422-22005:._10	1	4
NZ_CP032462.1_2	NZ_CP032462.1_1-5532:._2	NZ_CP032462.1_1-5532:._1	-1	42
NZ_AP031411.1_418	NZ_AP031411.1_439907-450562:._6	NZ_AP031411.1_439907-450562:._7	1	47
NZ_CP093929.1_211	NZ_CP093929.1_224243-234868:._5	NZ_CP093929.1_224243-234868:._4	-1	-3
NZ_CP066410.1_9	NZ_CP066410.1_1669-12282:._8	NZ_CP066410.1_1669-12282:._9	1	69
NZ_CP019033.1_19	NZ_CP019033.1_8836-19419:._9	NZ_CP019033.1_8836-19419:._10	1	46
NZ_CP025441.1_44	NZ_CP025441.1_33195-43748:._4	NZ_CP025441.1_33195-43748:._3	-1	4
NZ_CP025441.1_65	NZ_CP025441.1_47839-58446:._6	NZ_CP025441.1_47839-58446:._7	1	-10
NZ_CP168877.1_37	NZ_CP168877.1_27621-38174:._5	NZ_CP168877.1_27621-38174:._6	1	4
NZ_AP024510.1_1832	NZ_AP024510.1_1918806-1929410:._7	NZ_AP024510.1_1918806-1929410:._6	-1	45
NZ_CP148634.1_22	NZ_CP148634.1_13350-24083:._4	NZ_CP148634.1_13350-24083:._5	1	21
NZ_CP039448.1_2547	NZ_CP039448.1_2705139-2715740:._9	NZ_CP039448.1_2705139-2715740:._8	-1	16
NZ_CP092548.1_14	NZ_CP092548.1_5592-15707:._8	NZ_CP092548.1_5592-15707:._7	-1	54
NZ_CP176161.1_35	NZ_CP176161.1_28513-39099:._7	NZ_CP176161.1_28513-39099:._6	-1	94
NZ_CP048614.1_1375	NZ_CP048614.1_1293544-1304127:._6	NZ_CP048614.1_1293544-1304127:._7	1	49
NZ_CP048614.1_1689	NZ_CP048614.1_1599220-1609569:._7	NZ_CP048614.1_1599220-1609569:._6	-1	-61
NZ_CP168915.1_53	NZ_CP168915.1_46705-57312:._13	NZ_CP168915.1_46705-57312:._14	1	25
NZ_CP168916.1_3	NZ_CP168916.1_539-11092:._3	NZ_CP168916.1_539-11092:._2	-1	4
NZ_AP031443.1_1403	NZ_AP031443.1_1378987-1389555:._7	NZ_AP031443.1_1378987-1389555:._8	1	90
NZ_CP197391.1_955	NZ_CP197391.1_937303-947919:._6	NZ_CP197391.1_937303-947919:._5	-1	0
NZ_CP197453.1_76	NZ_CP197453.1_60445-70788:._6	NZ_CP197453.1_60445-70788:._7	1	10
NZ_CP009242.1_794	NZ_CP009242.1_794717-804913:._7	NZ_CP009242.1_794717-804913:._6	-1	34
NZ_CP113429.1_4	NZ_CP113429.1_1-8605:._4	NZ_CP113429.1_1-8605:._5	1	43
NZ_CP113429.1_213	NZ_CP113429.1_229238-239872:._7	NZ_CP113429.1_229238-239872:._6	-1	39
NZ_CP046594.1_18	NZ_CP046594.1_11657-22288:._6	NZ_CP046594.1_11657-22288:._5	-1	87
NZ_CP098817.1_7	NZ_CP098817.1_1-10192:._7	NZ_CP098817.1_1-10192:._8	1	10
NZ_CP116570.1_43	NZ_CP116570.1_34464-44885:._7	NZ_CP116570.1_34464-44885:._8	1	0
NZ_CP184735.1_27	NZ_CP184735.1_21326-32059:._5	NZ_CP184735.1_21326-32059:._6	1	21
NZ_CP113954.2_1324	NZ_CP113954.2_1355221-1365822:._6	NZ_CP113954.2_1355221-1365822:._5	-1	16
NZ_CP063751.1_19	NZ_CP063751.1_10051-20682:._5	NZ_CP063751.1_10051-20682:._6	1	87
NC_009706.1_1524	NC_009706.1_1607110-1617240:._5	NC_009706.1_1607110-1617240:._6	1	49
NZ_CP113030.1_21	NZ_CP113030.1_10672-21279:._7	NZ_CP113030.1_10672-21279:._6	-1	5
NZ_CP041262.2_52	NZ_CP041262.2_43114-53727:._11	NZ_CP041262.2_43114-53727:._12	1	3
NZ_CP139081.1_49	NZ_CP139081.1_34958-45538:._8	NZ_CP139081.1_34958-45538:._7	-1	63
NZ_CP168681.1_889	NZ_CP168681.1_895368-906017:._7	NZ_CP168681.1_895368-906017:._8	1	6
NZ_AP043913.1_1629	NZ_AP043913.1_1936523-1947121:._6	NZ_AP043913.1_1936523-1947121:._5	-1	-3
NZ_OZ061255.1_10	NZ_OZ061255.1_1171-11754:._10	NZ_OZ061255.1_1171-11754:._11	1	49
NZ_CP180174.1_2395	NZ_CP180174.1_2450531-2460721:._9	NZ_CP180174.1_2450531-2460721:._8	-1	84
NZ_CP092574.1_1662	NZ_CP092574.1_1632375-1642976:._8	NZ_CP092574.1_1632375-1642976:._7	-1	16
NZ_CP092574.1_1728	NZ_CP092574.1_1681303-1691907:._8	NZ_CP092574.1_1681303-1691907:._7	-1	31
NZ_CP092574.1_1755	NZ_CP092574.1_1704095-1714717:._11	NZ_CP092574.1_1704095-1714717:._10	-1	30
NZ_CP015252.1_100	NZ_CP015252.1_89047-99612:._4	NZ_CP015252.1_89047-99612:._3	-1	76
NZ_CP015251.1_2	NZ_CP015251.1_1-5493:._2	NZ_CP015251.1_1-5493:._1	-1	42
NZ_CP015251.1_184	NZ_CP015251.1_142931-153475:._9	NZ_CP015251.1_142931-153475:._8	-1	35
NZ_CP162014.1_3	NZ_CP162014.1_1-5893:._3	NZ_CP162014.1_1-5893:._4	1	-3
NZ_CP079966.1_61	NZ_CP079966.1_50248-60813:._6	NZ_CP079966.1_50248-60813:._7	1	14
NZ_JBRFUM010000002.1_161	NZ_JBRFUM010000002.1_180379-191004:._7	NZ_JBRFUM010000002.1_180379-191004:._8	1	-3
NZ_LR738724.1_928	NZ_LR738724.1_994347-1004963:._5	NZ_LR738724.1_994347-1004963:._6	1	0
NZ_CP035221.1_47	NZ_CP035221.1_44365-54786:._5	NZ_CP035221.1_44365-54786:._4	-1	0
NZ_CP035221.1_251	NZ_CP035221.1_223411-233832:._7	NZ_CP035221.1_223411-233832:._6	-1	0
NZ_AP025333.1_1157	NZ_AP025333.1_1194982-1205598:._6	NZ_AP025333.1_1194982-1205598:._5	-1	0
NZ_CP143884.1_29	NZ_CP143884.1_29742-40040:._5	NZ_CP143884.1_29742-40040:._6	1	0
NC_011134.1_1061	NC_011134.1_1153850-1164505:._3	NC_011134.1_1153850-1164505:._2	-1	69
NZ_CP148642.1_58	NZ_CP148642.1_41322-52055:._12	NZ_CP148642.1_41322-52055:._11	-1	21
NZ_CP030136.1_2544	NZ_CP030136.1_2691412-2702043:._6	NZ_CP030136.1_2691412-2702043:._5	-1	61
NZ_CP030136.1_2577	NZ_CP030136.1_2720634-2731262:._6	NZ_CP030136.1_2720634-2731262:._5	-1	22
NZ_CP127376.1_4	NZ_CP127376.1_1-8882:._4	NZ_CP127376.1_1-8882:._5	1	54
NZ_CP127376.1_2699	NZ_CP127376.1_2700989-2711146:._8	NZ_CP127376.1_2700989-2711146:._7	-1	-6
NZ_CP168870.1_60	NZ_CP168870.1_50611-61164:._5	NZ_CP168870.1_50611-61164:._6	1	4
NZ_CP169694.1_71	NZ_CP169694.1_65763-76316:._4	NZ_CP169694.1_65763-76316:._3	-1	4
NZ_CP183472.1_91	NZ_CP183472.1_79048-89784:._7	NZ_CP183472.1_79048-89784:._8	1	25
NZ_CP009350.1_36	NZ_CP009350.1_29901-40451:._6	NZ_CP009350.1_29901-40451:._5	-1	13
NZ_CP130512.1_2490	NZ_CP130512.1_2672507-2683108:._9	NZ_CP130512.1_2672507-2683108:._8	-1	16
NZ_CP163401.1_566	NZ_CP163401.1_569444-580060:._6	NZ_CP163401.1_569444-580060:._5	-1	0
NZ_CP062266.1_14	NZ_CP062266.1_6491-17104:._7	NZ_CP062266.1_6491-17104:._8	1	3
NZ_CP062266.1_73	NZ_CP062266.1_55139-65482:._7	NZ_CP062266.1_55139-65482:._6	-1	10
NZ_JBRFUL010000002.1_50	NZ_JBRFUL010000002.1_65970-76544:._10	NZ_JBRFUL010000002.1_65970-76544:._11	1	0
NZ_JBSXGX010000002.1_16	NZ_JBSXGX010000002.1_6209-16759:._8	NZ_JBSXGX010000002.1_6209-16759:._7	-1	64
NZ_CP029758.2_3638	NZ_CP029758.2_3908103-3918371:._8	NZ_CP029758.2_3908103-3918371:._7	-1	54
NZ_CP028224.1_8	NZ_CP028224.1_745-11376:._8	NZ_CP028224.1_745-11376:._7	-1	87
NZ_CP028225.1_16	NZ_CP028225.1_9025-19578:._4	NZ_CP028225.1_9025-19578:._5	1	7
NZ_CP044501.1_26	NZ_CP044501.1_18800-29431:._6	NZ_CP044501.1_18800-29431:._5	-1	87
NZ_CP065424.1_3543	NZ_CP065424.1_3546973-3557526:._8	NZ_CP065424.1_3546973-3557526:._9	1	92
NZ_CP168897.1_60	NZ_CP168897.1_50485-61038:._5	NZ_CP168897.1_50485-61038:._6	1	4
NZ_CP085414.1_74	NZ_CP085414.1_69927-80552:._4	NZ_CP085414.1_69927-80552:._3	-1	-3
NZ_CP044414.1_18	NZ_CP044414.1_6246-16829:._8	NZ_CP044414.1_6246-16829:._7	-1	-7
NZ_DBJOSQ010000002.1_91	NZ_DBJOSQ010000002.1_79591-90144:._3	NZ_DBJOSQ010000002.1_79591-90144:._2	-1	96
NZ_DBJOSQ010000002.1_92	NZ_DBJOSQ010000002.1_79591-90144:._4	NZ_DBJOSQ010000002.1_79591-90144:._3	-1	4
NZ_DBJOSQ010000003.1_72	NZ_DBJOSQ010000003.1_57866-68473:._5	NZ_DBJOSQ010000003.1_57866-68473:._4	-1	-10
NZ_DBJOSQ010000003.1_91	NZ_DBJOSQ010000003.1_71304-81857:._8	NZ_DBJOSQ010000003.1_71304-81857:._9	1	4
NZ_CP146870.1_4	NZ_CP146870.1_1-7987:._4	NZ_CP146870.1_1-7987:._5	1	87
NC_008598.1_5	NC_008598.1_1-8599:._5	NC_008598.1_1-8599:._4	-1	13
NZ_CP124915.1_46	NZ_CP124915.1_37926-48569:._7	NZ_CP124915.1_37926-48569:._8	1	22
NZ_AP022957.1_213	NZ_AP022957.1_200736-211379:._5	NZ_AP022957.1_200736-211379:._6	1	-7
NZ_CP064408.1_40	NZ_CP064408.1_36852-47474:._9	NZ_CP064408.1_36852-47474:._10	1	30
NZ_LR135430.1_7	NZ_LR135430.1_292-10914:._6	NZ_LR135430.1_292-10914:._7	1	96
NZ_JBQPFJ010000002.1_18	NZ_JBQPFJ010000002.1_13165-23721:._7	NZ_JBQPFJ010000002.1_13165-23721:._8	1	-3
NZ_CP169384.1_29	NZ_CP169384.1_23211-33944:._5	NZ_CP169384.1_23211-33944:._6	1	21
NZ_OZ298371.1_10	NZ_OZ298371.1_3542-14095:._6	NZ_OZ298371.1_3542-14095:._5	-1	20
NZ_OZ298374.1_30	NZ_OZ298374.1_21548-32131:._6	NZ_OZ298374.1_21548-32131:._7	1	19
NZ_OZ298376.1_2	NZ_OZ298376.1_1-5772:._2	NZ_OZ298376.1_1-5772:._3	1	10
NZ_CP132397.1_1885	NZ_CP132397.1_1962681-1973297:._6	NZ_CP132397.1_1962681-1973297:._5	-1	0
NZ_CP162628.1_27	NZ_CP162628.1_17556-28217:._7	NZ_CP162628.1_17556-28217:._8	1	22
NZ_CP162628.1_64	NZ_CP162628.1_42454-53016:._11	NZ_CP162628.1_42454-53016:._10	-1	73
NZ_CP087101.1_35	NZ_CP087101.1_25310-35872:._10	NZ_CP087101.1_25310-35872:._11	1	-10
NZ_CP170481.1_29	NZ_CP170481.1_18216-28808:._9	NZ_CP170481.1_18216-28808:._10	1	40
NZ_CP119151.1_135	NZ_CP119151.1_108638-118981:._6	NZ_CP119151.1_108638-118981:._7	1	10
NZ_CP119152.1_13	NZ_CP119152.1_3065-13678:._8	NZ_CP119152.1_3065-13678:._9	1	-28
NZ_CP119153.1_18	NZ_CP119153.1_7488-17831:._6	NZ_CP119153.1_7488-17831:._7	1	10
NZ_CP099799.1_1498	NZ_CP099799.1_1574467-1585080:._10	NZ_CP099799.1_1574467-1585080:._11	1	31
NZ_CP093954.1_30	NZ_CP093954.1_18240-28862:._8	NZ_CP093954.1_18240-28862:._7	-1	-22
NZ_CP093954.1_206	NZ_CP093954.1_172544-183157:._5	NZ_CP093954.1_172544-183157:._4	-1	24
NZ_CP100420.1_1863	NZ_CP100420.1_2013714-2024282:._6	NZ_CP100420.1_2013714-2024282:._5	-1	80
NZ_CP199845.1_2924	NZ_CP199845.1_3110681-3120799:._6	NZ_CP199845.1_3110681-3120799:._7	1	-15
NZ_CP199845.1_2996	NZ_CP199845.1_3184390-3195021:._6	NZ_CP199845.1_3184390-3195021:._5	-1	87
NZ_CP199845.1_3097	NZ_CP199845.1_3265073-3275362:._8	NZ_CP199845.1_3265073-3275362:._9	1	84
NZ_AP022922.1_278	NZ_AP022922.1_286594-297237:._7	NZ_AP022922.1_286594-297237:._6	-1	-7
NZ_CP070059.1_13	NZ_CP070059.1_8936-19543:._5	NZ_CP070059.1_8936-19543:._4	-1	0
NZ_CP070061.1_3	NZ_CP070061.1_1-8507:._4	NZ_CP070061.1_1-8507:._5	1	70
NZ_CP175107.1_1	NZ_CP175107.1_1-5645:._1	NZ_CP175107.1_1-5645:._2	1	57
NZ_CP183223.1_41	NZ_CP183223.1_30794-41374:._3	NZ_CP183223.1_30794-41374:._2	-1	-42
NZ_CP116439.1_56	NZ_CP116439.1_42195-52928:._4	NZ_CP116439.1_42195-52928:._5	1	21
NZ_CP168910.1_27	NZ_CP168910.1_21500-32053:._4	NZ_CP168910.1_21500-32053:._3	-1	4
NZ_CP168910.1_46	NZ_CP168910.1_34884-45491:._7	NZ_CP168910.1_34884-45491:._8	1	-10
NZ_CP168913.1_53	NZ_CP168913.1_46705-57312:._13	NZ_CP168913.1_46705-57312:._14	1	25
NZ_CP168914.1_3	NZ_CP168914.1_539-11092:._3	NZ_CP168914.1_539-11092:._2	-1	4
NZ_CP184514.1_25	NZ_CP184514.1_17582-28189:._6	NZ_CP184514.1_17582-28189:._7	1	-10
NZ_CP016846.1_21	NZ_CP016846.1_15739-26352:._6	NZ_CP016846.1_15739-26352:._7	1	18
NZ_CP066818.1_10	NZ_CP066818.1_5236-14612:._3	NZ_CP066818.1_5236-14612:._2	-1	3
NZ_CP066818.1_43	NZ_CP066818.1_34630-45210:._3	NZ_CP066818.1_34630-45210:._2	-1	-13
NZ_CP066821.1_37	NZ_CP066821.1_25951-36468:._6	NZ_CP066821.1_25951-36468:._5	-1	26
NZ_CP041258.1_24	NZ_CP041258.1_11111-21733:._10	NZ_CP041258.1_11111-21733:._9	-1	90
NZ_CP041255.1_45	NZ_CP041255.1_27778-38340:._8	NZ_CP041255.1_27778-38340:._7	-1	25
NZ_CP130523.1_2499	NZ_CP130523.1_2678714-2689315:._9	NZ_CP130523.1_2678714-2689315:._8	-1	16
NZ_CP113037.1_469	NZ_CP113037.1_534187-544788:._8	NZ_CP113037.1_534187-544788:._9	1	16
NZ_CP184661.1_26	NZ_CP184661.1_14253-24395:._9	NZ_CP184661.1_14253-24395:._8	-1	19
NC_022045.1_38	NC_022045.1_27159-37766:._5	NC_022045.1_27159-37766:._4	-1	-10
NC_022045.1_57	NC_022045.1_40597-51150:._8	NC_022045.1_40597-51150:._9	1	4
