downstream_orf	blast_hit_id	contig	orf_start	orf_stop	strand	nearest_defense_gene	nearest_defense_type	nearest_distance_bp	defense_genes_in_window	proximity_score	density_score	defense_score	interpro_domains
NZ_CP091891.1_40732-51348:._10	NZ_CP091891.1_46	NZ_CP091891.1_40732-51348	5617	7761	1	none	none	0	0	0.0	0.0	0.0	IPR006171;IPR013497;IPR013498;IPR034144
NZ_DBJORY010000002.1_1-10545:._7	NZ_DBJORY010000002.1_6	NZ_DBJORY010000002.1_1-10545	5535	5762	1	NZ_DBJORY010000002.1_1-10545:._8	RosmerTA	361	9	0.8349	0.9	0.8609	
NZ_CP084539.1_2436499-2447052:._5	NZ_CP084539.1_2306	NZ_CP084539.1_2436499-2447052	3532	4986	-1	none	none	0	0	0.0	0.0	0.0	IPR001584;IPR015378
NZ_CP180196.1_6650-17263:._2	NZ_CP180196.1_12	NZ_CP180196.1_6650-17263	662	1057	1	none	none	0	0	0.0	0.0	0.0	IPR033782
NZ_CP180197.1_2872-13485:._8	NZ_CP180197.1_12	NZ_CP180197.1_2872-13485	5986	6723	-1	none	none	0	0	0.0	0.0	0.0	IPR010488
NZ_CP180197.1_2872-13485:._10	NZ_CP180197.1_14	NZ_CP180197.1_2872-13485	7014	7229	-1	none	none	0	0	0.0	0.0	0.0	IPR011686
NZ_CP180197.1_20514-31130:._6	NZ_CP180197.1_31	NZ_CP180197.1_20514-31130	2856	5000	-1	none	none	0	0	0.0	0.0	0.0	IPR006171;IPR013497;IPR013498;IPR034144
NZ_CP180198.1_22513-33129:._6	NZ_CP180198.1_31	NZ_CP180198.1_22513-33129	2856	5000	-1	none	none	0	0	0.0	0.0	0.0	IPR006171;IPR013497;IPR013498;IPR034144
NZ_CP085310.1_1276636-1287261:._6	NZ_CP085310.1_1184	NZ_CP085310.1_1276636-1287261	4684	4932	-1	none	none	0	0	0.0	0.0	0.0	
NZ_CP009046.1_1367835-1377992:._8	NZ_CP009046.1_1251	NZ_CP009046.1_1367835-1377992	5112	5648	1	NZ_CP009046.1_1367835-1377992:._3	AbiA	2309	1	0.3152	0.1	0.2291	IPR006119;IPR006120
NZ_CP118923.1_7352-17953:._11	NZ_CP118923.1_17	NZ_CP118923.1_7352-17953	9549	10124	1	none	none	0	0	0.0	0.0	0.0	IPR002781
NZ_CP074377.1_1330270-1340919:._10	NZ_CP074377.1_1240	NZ_CP074377.1_1330270-1340919	5656	5940	1	NZ_CP074377.1_1330270-1340919:._8	DarTG	1067	1	0.5865	0.1	0.3919	IPR001357
NZ_CP134829.1_1-7986:._8	NZ_CP134829.1_9	NZ_CP134829.1_1-7986	5111	6040	-1	none	none	0	0	0.0	0.0	0.0	IPR001048;IPR003964
NZ_CP047468.1_23709-34268:._3	NZ_CP047468.1_32	NZ_CP047468.1_23709-34268	2007	4964	-1	none	none	0	0	0.0	0.0	0.0	IPR002513;IPR025296
NZ_CP130522.1_2638770-2649371:._8	NZ_CP130522.1_2441	NZ_CP130522.1_2638770-2649371	4292	4984	-1	NZ_CP130522.1_2638770-2649371:._14	Lamassu-Fam	3307	7	0.1914	0.7	0.3948	IPR006171;IPR013497;IPR034144
NZ_CP168064.1_40978-51609:._6	NZ_CP168064.1_42	NZ_CP168064.1_40978-51609	5719	6621	1	none	none	0	0	0.0	0.0	0.0	IPR003740;IPR019264
NZ_CP013621.1_1040209-1050840:._5	NZ_CP013621.1_966	NZ_CP013621.1_1040209-1050840	4625	4939	-1	none	none	0	0	0.0	0.0	0.0	IPR001845;IPR011991
NZ_AP043992.1_16372-26988:._9	NZ_AP043992.1_27	NZ_AP043992.1_16372-26988	5617	7761	1	none	none	0	0	0.0	0.0	0.0	IPR006171;IPR013497;IPR013498;IPR034144
NZ_CP089163.1_6463-17070:._4	NZ_CP089163.1_12	NZ_CP089163.1_6463-17070	1331	1957	-1	none	none	0	0	0.0	0.0	0.0	IPR003439;IPR017911
NZ_CM149708.1_3350826-3361379:._9	NZ_CM149708.1_3514	NZ_CM149708.1_3350826-3361379	5567	7615	1	none	none	0	0	0.0	0.0	0.0	IPR002513
NZ_CP094858.1_1260-11867:._9	NZ_CP094858.1_12	NZ_CP094858.1_1260-11867	4827	4985	-1	NZ_CP094858.1_1260-11867:._1	RosmerTA	4400	1	0.1108	0.1	0.1065	
NZ_CP120654.1_663372-673973:._10	NZ_CP120654.1_653	NZ_CP120654.1_663372-673973	5618	6310	1	none	none	0	0	0.0	0.0	0.0	IPR006171;IPR013497;IPR034144
NZ_OZ260684.1_21844-32148:._7	NZ_OZ260684.1_33	NZ_OZ260684.1_21844-32148	5354	5443	1	none	none	0	0	0.0	0.0	0.0	
NZ_OZ260684.1_38189-48472:._10	NZ_OZ260684.1_55	NZ_OZ260684.1_38189-48472	5000	5284	1	NZ_OZ260684.1_38189-48472:._1	RM	4229	1	0.1207	0.1	0.1124	IPR006119
NZ_CP076489.1_41237-51853:._6	NZ_CP076489.1_59	NZ_CP076489.1_41237-51853	4908	5000	-1	none	none	0	0	0.0	0.0	0.0	
NZ_CP054567.1_43967-54577:._11	NZ_CP054567.1_75	NZ_CP054567.1_43967-54577	5624	6448	1	none	none	0	0	0.0	0.0	0.0	IPR000305
NZ_CM126253.1_296417-306982:._7	NZ_CM126253.1_275	NZ_CM126253.1_296417-306982	5574	6830	1	none	none	0	0	0.0	0.0	0.0	IPR003593
NZ_CP092556.1_2660736-2670851:._8	NZ_CP092556.1_2502	NZ_CP092556.1_2660736-2670851	4266	4952	-1	NZ_CP092556.1_2660736-2670851:._13	RosmerTA	3966	1	0.1377	0.1	0.1226	IPR032874
NZ_CP053957.1_2185587-2196185:._5	NZ_CP053957.1_2160	NZ_CP053957.1_2185587-2196185	4584	4931	-1	none	none	0	0	0.0	0.0	0.0	IPR010712
NZ_CP019723.1_22392-32984:._10	NZ_CP019723.1_32	NZ_CP019723.1_22392-32984	5633	6496	1	NZ_CP019723.1_22392-32984:._12	Anti_CRISPR	835	1	0.6587	0.1	0.4352	IPR025669
NZ_CP120922.1_19616-29737:._6	NZ_CP120922.1_28	NZ_CP120922.1_19616-29737	4540	4980	-1	NZ_CP120922.1_19616-29737:._8	Bunzi	261	2	0.8777	0.2	0.6066	IPR006119
NZ_CP053077.1_10788-21416:._4	NZ_CP053077.1_19	NZ_CP053077.1_10788-21416	1990	2307	-1	NZ_CP053077.1_10788-21416:._9	Anti_CRISPR	3586	1	0.1665	0.1	0.1399	IPR015112
NZ_AP041227.1_44324-54946:._5	NZ_AP041227.1_57	NZ_AP041227.1_44324-54946	2030	2251	1	NZ_AP041227.1_44324-54946:._1	Eleos	1349	1	0.5094	0.1	0.3456	
NZ_AP041226.1_64494-75095:._7	NZ_AP041226.1_77	NZ_AP041226.1_64494-75095	5668	6462	1	none	none	0	0	0.0	0.0	0.0	IPR043733
NZ_CP006804.1_2002823-2013472:._8	NZ_CP006804.1_1878	NZ_CP006804.1_2002823-2013472	4710	4994	-1	none	none	0	0	0.0	0.0	0.0	IPR001357
NZ_CP192532.1_29594-40225:._6	NZ_CP192532.1_34	NZ_CP192532.1_29594-40225	5719	6621	1	none	none	0	0	0.0	0.0	0.0	IPR003740;IPR019264
NZ_CP150172.1_2641087-2651727:._4	NZ_CP150172.1_2524	NZ_CP150172.1_2641087-2651727	3174	4955	-1	none	none	0	0	0.0	0.0	0.0	IPR008490;IPR025668
NZ_CP138650.1_1-6679:._3	NZ_CP138650.1_2	NZ_CP138650.1_1-6679	567	905	1	none	none	0	0	0.0	0.0	0.0	
NZ_CP072508.1_33067-43689:._7	NZ_CP072508.1_37	NZ_CP072508.1_33067-43689	4758	4970	-1	none	none	0	0	0.0	0.0	0.0	
NZ_CP017461.1_29288-39838:._7	NZ_CP017461.1_36	NZ_CP017461.1_29288-39838	5615	6487	1	NZ_CP017461.1_29288-39838:._4	PrrC	1812	4	0.4041	0.4	0.4025	IPR000847;IPR005119
NZ_CP118739.1_27277-37878:._8	NZ_CP118739.1_31	NZ_CP118739.1_27277-37878	9148	9807	1	NZ_CP118739.1_27277-37878:._4	ShosTA	4831	0	0.0893	0.0	0.0536	IPR010972
NZ_CP118741.1_4213-14571:._10	NZ_CP118741.1_14	NZ_CP118741.1_4213-14571	7113	7361	-1	none	none	0	0	0.0	0.0	0.0	IPR007341
NZ_CP077757.1_1861170-1871801:._5	NZ_CP077757.1_1720	NZ_CP077757.1_1861170-1871801	4625	4939	-1	none	none	0	0	0.0	0.0	0.0	IPR001845;IPR011991
NZ_CP170765.1_2663522-2674123:._8	NZ_CP170765.1_2472	NZ_CP170765.1_2663522-2674123	4292	4984	-1	none	none	0	0	0.0	0.0	0.0	IPR006171;IPR013497;IPR034144
NZ_CP085712.1_1509286-1519833:._14	NZ_CP085712.1_1452	NZ_CP085712.1_1509286-1519833	5610	6734	1	none	none	0	0	0.0	0.0	0.0	IPR012654
NZ_CP085712.1_2520737-2531290:._5	NZ_CP085712.1_2523	NZ_CP085712.1_2520737-2531290	4579	4986	-1	none	none	0	0	0.0	0.0	0.0	
NZ_CP085712.1_4234687-4244895:._10	NZ_CP085712.1_4279	NZ_CP085712.1_4234687-4244895	4689	5003	-1	NZ_CP085712.1_4234687-4244895:._13	RosmerTA	985	1	0.6111	0.1	0.4067	
NZ_CP102746.1_1858398-1869014:._5	NZ_CP102746.1_1782	NZ_CP102746.1_1858398-1869014	4638	5000	-1	none	none	0	0	0.0	0.0	0.0	IPR006171;IPR034144
NZ_CP102746.1_2085096-2095712:._5	NZ_CP102746.1_1994	NZ_CP102746.1_2085096-2095712	4638	5000	-1	none	none	0	0	0.0	0.0	0.0	IPR006171;IPR034144
NZ_CP193773.1_1266965-1277548:._11	NZ_CP193773.1_1283	NZ_CP193773.1_1266965-1277548	5633	6496	1	none	none	0	0	0.0	0.0	0.0	IPR003439
NZ_CP075954.1_32184-42917:._5	NZ_CP075954.1_44	NZ_CP075954.1_32184-42917	5755	5862	1	NZ_CP075954.1_32184-42917:._3	6A_MBL	1297	2	0.5228	0.2	0.3937	
NZ_CP129530.1_348624-359207:._6	NZ_CP129530.1_354	NZ_CP129530.1_348624-359207	5633	5872	1	NZ_CP129530.1_348624-359207:._2	Dodola	2006	2	0.3668	0.2	0.3001	IPR003439
NZ_CP196572.1_1-6714:._3	NZ_CP196572.1_2	NZ_CP196572.1_1-6714	1704	1931	1	NZ_CP196572.1_1-6714:._4	RosmerTA	361	2	0.8349	0.2	0.5809	
NZ_CP196572.1_32824-43377:._3	NZ_CP196572.1_38	NZ_CP196572.1_32824-43377	2081	4996	-1	NZ_CP196572.1_32824-43377:._7	MazEF	3525	0	0.1716	0.0	0.103	IPR002513;IPR025296
NZ_CP141330.1_2599259-2609908:._5	NZ_CP141330.1_2479	NZ_CP141330.1_2599259-2609908	5656	5940	1	none	none	0	0	0.0	0.0	0.0	IPR001357
NZ_CP020473.1_2611541-2622112:._15	NZ_CP020473.1_2462	NZ_CP020473.1_2611541-2622112	5613	6401	1	none	none	0	0	0.0	0.0	0.0	IPR018925
NZ_OZ061245.1_34210-44793:._11	NZ_OZ061245.1_43	NZ_OZ061245.1_34210-44793	8594	9052	1	none	none	0	0	0.0	0.0	0.0	IPR000182
NZ_CP181217.1_44014-54657:._8	NZ_CP181217.1_48	NZ_CP181217.1_44014-54657	5666	5872	1	none	none	0	0	0.0	0.0	0.0	
NZ_CP116544.1_53486-64108:._6	NZ_CP116544.1_69	NZ_CP116544.1_53486-64108	4224	4910	-1	none	none	0	0	0.0	0.0	0.0	IPR032874
NZ_CP116544.1_89719-100140:._6	NZ_CP116544.1_109	NZ_CP116544.1_89719-100140	4638	5000	-1	none	none	0	0	0.0	0.0	0.0	IPR006171;IPR034144
NZ_CP118791.1_19133-29740:._10	NZ_CP118791.1_30	NZ_CP118791.1_19133-29740	7258	9648	-1	none	none	0	0	0.0	0.0	0.0	IPR011115;IPR011116;IPR011130;IPR044722
NZ_CP072886.1_11037-21653:._6	NZ_CP072886.1_20	NZ_CP072886.1_11037-21653	2856	5000	-1	NZ_CP072886.1_11037-21653:._12	RosmerTA	3554	0	0.1691	0.0	0.1015	IPR006171;IPR013497;IPR013498;IPR034144
NZ_LR135191.1_44670-55286:._10	NZ_LR135191.1_50	NZ_LR135191.1_44670-55286	8783	9490	1	none	none	0	0	0.0	0.0	0.0	IPR000845;IPR004402
NZ_CP151182.1_12920-23569:._7	NZ_CP151182.1_16	NZ_CP151182.1_12920-23569	5656	5940	1	none	none	0	0	0.0	0.0	0.0	IPR001357
NZ_CP186861.1_1-8778:._7	NZ_CP186861.1_6	NZ_CP186861.1_1-8778	6595	7806	1	none	none	0	0	0.0	0.0	0.0	IPR006949
NZ_CP159339.1_78139-88872:._10	NZ_CP159339.1_84	NZ_CP159339.1_78139-88872	5755	5862	1	NZ_CP159339.1_78139-88872:._7	Thoeris	1340	7	0.5117	0.7	0.587	
NZ_CP028277.1_1-7910:._7	NZ_CP028277.1_6	NZ_CP028277.1_1-7910	6402	7001	1	none	none	0	0	0.0	0.0	0.0	
NZ_CP028279.1_18510-29090:._7	NZ_CP028279.1_28	NZ_CP028279.1_18510-29090	9272	10537	1	NZ_CP028279.1_18510-29090:._7	PrrC	0	6	1.0	0.6	0.84	IPR000055
NZ_CP125720.1_21496-32040:._9	NZ_CP125720.1_35	NZ_CP125720.1_21496-32040	8269	9555	-1	NZ_CP125720.1_21496-32040:._5	PrrC	1014	4	0.6023	0.4	0.5214	IPR011701
NZ_CP116533.1_110634-121250:._3	NZ_CP116533.1_120	NZ_CP116533.1_110634-121250	4638	5000	-1	none	none	0	0	0.0	0.0	0.0	IPR006171;IPR034144
NZ_CP157502.1_6474-17024:._3	NZ_CP157502.1_5	NZ_CP157502.1_6474-17024	2639	3121	-1	NZ_CP157502.1_6474-17024:._6	MazEF	1760	1	0.4148	0.1	0.2889	IPR003594
NZ_CP157503.1_1-9087:._6	NZ_CP157503.1_5	NZ_CP157503.1_1-9087	4154	4339	1	none	none	0	0	0.0	0.0	0.0	
NZ_CP092266.1_21513-32108:._5	NZ_CP092266.1_31	NZ_CP092266.1_21513-32108	2140	3471	-1	none	none	0	0	0.0	0.0	0.0	IPR023753
NZ_CP035964.1_253428-264002:._9	NZ_CP035964.1_272	NZ_CP035964.1_253428-264002	4578	5000	-1	none	none	0	0	0.0	0.0	0.0	IPR002711;IPR003615
NZ_OU016028.1_174769-185112:._8	NZ_OU016028.1_186	NZ_OU016028.1_174769-185112	5354	5614	1	NZ_OU016028.1_174769-185112:._10	RosmerTA	1530	2	0.4653	0.2	0.3592	IPR006120
NZ_CP086329.1_259958-270583:._8	NZ_CP086329.1_250	NZ_CP086329.1_259958-270583	5623	8676	1	none	none	0	0	0.0	0.0	0.0	IPR002513;IPR025296
NZ_OY737369.1_789349-799833:._9	NZ_OY737369.1_827	NZ_OY737369.1_789349-799833	4649	4936	-1	none	none	0	0	0.0	0.0	0.0	IPR002514
NZ_CM143323.1_1457537-1468813:._6	NZ_CM143323.1_1428	NZ_CM143323.1_1457537-1468813	4116	4913	-1	none	none	0	0	0.0	0.0	0.0	IPR025669
NZ_CP044240.1_431-11080:._8	NZ_CP044240.1_7	NZ_CP044240.1_431-11080	3105	3608	1	none	none	0	0	0.0	0.0	0.0	
NZ_CP183932.1_1-5667:._3	NZ_CP183932.1_2	NZ_CP183932.1_1-5667	1265	1492	1	NZ_CP183932.1_1-5667:._4	RosmerTA	361	2	0.8349	0.2	0.5809	
NZ_CP168889.1_50611-61164:._6	NZ_CP168889.1_60	NZ_CP168889.1_50611-61164	5558	8473	1	none	none	0	0	0.0	0.0	0.0	IPR002513;IPR025296
NZ_CP061203.1_2229591-2240150:._10	NZ_CP061203.1_2192	NZ_CP061203.1_2229591-2240150	5643	6260	1	none	none	0	0	0.0	0.0	0.0	
NZ_CP148682.1_1-8468:._4	NZ_CP148682.1_3	NZ_CP148682.1_1-8468	3489	3596	1	none	none	0	0	0.0	0.0	0.0	
NZ_CP123971.1_353496-364103:._6	NZ_CP123971.1_317	NZ_CP123971.1_353496-364103	5704	6792	1	NZ_CP123971.1_353496-364103:._4	RM	729	3	0.6945	0.3	0.5367	IPR031927
NZ_CP130551.1_2681076-2691677:._8	NZ_CP130551.1_2508	NZ_CP130551.1_2681076-2691677	4292	4984	-1	NZ_CP130551.1_2681076-2691677:._14	Lamassu-Fam	3307	7	0.1914	0.7	0.3948	IPR006171;IPR013497;IPR034144
NZ_CP016747.2_19618-29739:._6	NZ_CP016747.2_29	NZ_CP016747.2_19618-29739	4540	4980	-1	NZ_CP016747.2_19618-29739:._8	Bunzi	261	2	0.8777	0.2	0.6066	IPR006119
NZ_CP121224.1_7498-18078:._4	NZ_CP121224.1_11	NZ_CP121224.1_7498-18078	2973	3263	1	none	none	0	0	0.0	0.0	0.0	
NZ_CP094882.1_1552612-1563228:._7	NZ_CP094882.1_1499	NZ_CP094882.1_1552612-1563228	4110	4985	-1	NZ_CP094882.1_1552612-1563228:._5	RosmerTA	2035	2	0.3615	0.2	0.2969	IPR043733
NZ_CP035134.1_20321-30937:._9	NZ_CP035134.1_28	NZ_CP035134.1_20321-30937	6524	6805	1	none	none	0	0	0.0	0.0	0.0	
NZ_CP035135.1_28950-39503:._1	NZ_CP035135.1_36	NZ_CP035135.1_28950-39503	3	1652	-1	none	none	0	0	0.0	0.0	0.0	IPR010359;IPR013610
NZ_CP045013.1_46173-56300:._8	NZ_CP045013.1_56	NZ_CP045013.1_46173-56300	5141	5266	1	none	none	0	0	0.0	0.0	0.0	
NZ_CP150443.1_11422-22005:._10	NZ_CP150443.1_22	NZ_CP150443.1_11422-22005	8096	9220	1	none	none	0	0	0.0	0.0	0.0	IPR013610
NZ_CP032462.1_1-5532:._1	NZ_CP032462.1_2	NZ_CP032462.1_1-5532	170	532	-1	none	none	0	0	0.0	0.0	0.0	IPR006119
NZ_AP031411.1_439907-450562:._7	NZ_AP031411.1_418	NZ_AP031411.1_439907-450562	5703	5927	1	NZ_AP031411.1_439907-450562:._2	RosmerTA	3904	1	0.142	0.1	0.1252	IPR035255
NZ_CP093929.1_224243-234868:._4	NZ_CP093929.1_211	NZ_CP093929.1_224243-234868	1950	5003	-1	none	none	0	0	0.0	0.0	0.0	IPR002513;IPR025296
NZ_CP066410.1_1669-12282:._9	NZ_CP066410.1_9	NZ_CP066410.1_1669-12282	5525	7588	1	none	none	0	0	0.0	0.0	0.0	
NZ_CP019033.1_8836-19419:._10	NZ_CP019033.1_19	NZ_CP019033.1_8836-19419	9624	9881	1	none	none	0	0	0.0	0.0	0.0	
NZ_CP025441.1_33195-43748:._3	NZ_CP025441.1_44	NZ_CP025441.1_33195-43748	2081	4996	-1	NZ_CP025441.1_33195-43748:._7	MazEF	3525	0	0.1716	0.0	0.103	IPR002513;IPR025296
NZ_CP025441.1_47839-58446:._7	NZ_CP025441.1_65	NZ_CP025441.1_47839-58446	5598	5825	1	NZ_CP025441.1_47839-58446:._8	RosmerTA	361	2	0.8349	0.2	0.5809	
NZ_CP168877.1_27621-38174:._6	NZ_CP168877.1_37	NZ_CP168877.1_27621-38174	5558	8473	1	none	none	0	0	0.0	0.0	0.0	IPR002513;IPR025296
NZ_AP024510.1_1918806-1929410:._6	NZ_AP024510.1_1832	NZ_AP024510.1_1918806-1929410	4692	4955	-1	none	none	0	0	0.0	0.0	0.0	IPR001207
NZ_CP148634.1_13350-24083:._5	NZ_CP148634.1_22	NZ_CP148634.1_13350-24083	5755	5862	1	NZ_CP148634.1_13350-24083:._3	6A_MBL	1297	2	0.5228	0.2	0.3937	
NZ_CP039448.1_2705139-2715740:._8	NZ_CP039448.1_2547	NZ_CP039448.1_2705139-2715740	4292	4984	-1	NZ_CP039448.1_2705139-2715740:._15	Lamassu-Fam	3643	7	0.1618	0.7	0.3771	IPR006171;IPR013497;IPR034144
NZ_CP092548.1_5592-15707:._7	NZ_CP092548.1_14	NZ_CP092548.1_5592-15707	4266	4946	-1	none	none	0	0	0.0	0.0	0.0	IPR032874
NZ_CP176161.1_28513-39099:._6	NZ_CP176161.1_35	NZ_CP176161.1_28513-39099	3152	3517	-1	none	none	0	0	0.0	0.0	0.0	
NZ_CP048614.1_1293544-1304127:._7	NZ_CP048614.1_1375	NZ_CP048614.1_1293544-1304127	5633	6478	1	none	none	0	0	0.0	0.0	0.0	IPR003439
NZ_CP048614.1_1599220-1609569:._6	NZ_CP048614.1_1689	NZ_CP048614.1_1599220-1609569	4771	5061	-1	none	none	0	0	0.0	0.0	0.0	IPR006119;IPR006120
NZ_CP168915.1_46705-57312:._14	NZ_CP168915.1_53	NZ_CP168915.1_46705-57312	10265	10606	1	none	none	0	0	0.0	0.0	0.0	IPR007693
NZ_CP168916.1_539-11092:._2	NZ_CP168916.1_3	NZ_CP168916.1_539-11092	2081	4996	-1	none	none	0	0	0.0	0.0	0.0	IPR002513;IPR025296
NZ_AP031443.1_1378987-1389555:._8	NZ_AP031443.1_1403	NZ_AP031443.1_1378987-1389555	5659	5847	1	NZ_AP031443.1_1378987-1389555:._9	RosmerTA	36	1	0.9822	0.1	0.6293	
NZ_CP197391.1_937303-947919:._5	NZ_CP197391.1_955	NZ_CP197391.1_937303-947919	4716	5000	-1	none	none	0	0	0.0	0.0	0.0	
NZ_CP197453.1_60445-70788:._7	NZ_CP197453.1_76	NZ_CP197453.1_60445-70788	5354	5614	1	NZ_CP197453.1_60445-70788:._9	RosmerTA	1530	4	0.4653	0.4	0.4392	IPR006120
NZ_CP009242.1_794717-804913:._6	NZ_CP009242.1_794	NZ_CP009242.1_794717-804913	4640	4966	-1	none	none	0	0	0.0	0.0	0.0	IPR006119
NZ_CP113429.1_1-8605:._5	NZ_CP113429.1_4	NZ_CP113429.1_1-8605	3648	4388	1	none	none	0	0	0.0	0.0	0.0	IPR025296
NZ_CP113429.1_229238-239872:._6	NZ_CP113429.1_213	NZ_CP113429.1_229238-239872	4659	4961	-1	NZ_CP113429.1_229238-239872:._8	Thoeris	995	1	0.608	0.1	0.4048	
NZ_CP046594.1_11657-22288:._5	NZ_CP046594.1_18	NZ_CP046594.1_11657-22288	4011	4913	-1	none	none	0	0	0.0	0.0	0.0	IPR003740;IPR019264
NZ_CP098817.1_1-10192:._8	NZ_CP098817.1_7	NZ_CP098817.1_1-10192	6529	6639	1	NZ_CP098817.1_1-10192:._1	Anti_CRISPR	5593	0	0.061	0.0	0.0366	
NZ_CP116570.1_34464-44885:._8	NZ_CP116570.1_43	NZ_CP116570.1_34464-44885	5422	6723	1	none	none	0	0	0.0	0.0	0.0	IPR006171;IPR013497;IPR034144
NZ_CP184735.1_21326-32059:._6	NZ_CP184735.1_27	NZ_CP184735.1_21326-32059	5755	5862	1	none	none	0	0	0.0	0.0	0.0	
NZ_CP113954.2_1355221-1365822:._5	NZ_CP113954.2_1324	NZ_CP113954.2_1355221-1365822	4292	4984	-1	none	none	0	0	0.0	0.0	0.0	IPR006171;IPR013497;IPR034144
NZ_CP063751.1_10051-20682:._6	NZ_CP063751.1_19	NZ_CP063751.1_10051-20682	5719	6621	1	none	none	0	0	0.0	0.0	0.0	IPR003740;IPR019264
NC_009706.1_1607110-1617240:._6	NC_009706.1_1524	NC_009706.1_1607110-1617240	5180	6538	1	none	none	0	0	0.0	0.0	0.0	IPR000160
NZ_CP113030.1_10672-21279:._6	NZ_CP113030.1_21	NZ_CP113030.1_10672-21279	4226	4411	-1	NZ_CP113030.1_10672-21279:._6	RosmerTA	0	1	1.0	0.1	0.64	IPR001387
NZ_CP041262.2_43114-53727:._12	NZ_CP041262.2_52	NZ_CP041262.2_43114-53727	6011	6991	1	none	none	0	0	0.0	0.0	0.0	IPR002915
NZ_CP139081.1_34958-45538:._7	NZ_CP139081.1_49	NZ_CP139081.1_34958-45538	4659	4937	-1	none	none	0	0	0.0	0.0	0.0	
NZ_CP168681.1_895368-906017:._8	NZ_CP168681.1_889	NZ_CP168681.1_895368-906017	5656	5940	1	none	none	0	0	0.0	0.0	0.0	IPR001357
NZ_AP043913.1_1936523-1947121:._5	NZ_AP043913.1_1629	NZ_AP043913.1_1936523-1947121	4524	5003	-1	NZ_AP043913.1_1936523-1947121:._8	RosmerTA	3008	1	0.2222	0.1	0.1733	
NZ_OZ061255.1_1171-11754:._11	NZ_OZ061255.1_10	NZ_OZ061255.1_1171-11754	5633	6496	1	NZ_OZ061255.1_1171-11754:._1	PrrC	4769	0	0.0921	0.0	0.0553	IPR003439
NZ_CP180174.1_2450531-2460721:._8	NZ_CP180174.1_2395	NZ_CP180174.1_2450531-2460721	4656	4916	-1	none	none	0	0	0.0	0.0	0.0	IPR006119
